timestamp,instrument,timeframe,open,high,low,close,volume,spread
2026-04-21T00:00:00+00:00,XAU/USD,1h,2400.0,2400.5,2399.5,2400.0,100,0.20
2026-04-21T01:00:00+00:00,XAU/USD,1h,2401.0,2401.5,2400.5,2401.0,100,0.20
2026-04-21T02:00:00+00:00,XAU/USD,1h,2402.0,2402.5,2401.5,2402.0,100,0.20
2026-04-21T03:00:00+00:00,XAU/USD,1h,2403.0,2403.5,2402.5,2403.0,100,0.20
2026-04-21T04:00:00+00:00,XAU/USD,1h,2404.0,2404.5,2403.5,2404.0,100,0.20
2026-04-21T05:00:00+00:00,XAU/USD,1h,2405.0,2405.5,2404.5,2405.0,100,0.20
2026-04-21T06:00:00+00:00,XAU/USD,1h,2406.0,2406.5,2405.5,2406.0,100,0.20
2026-04-21T07:00:00+00:00,XAU/USD,1h,2407.0,2407.5,2406.5,2407.0,100,0.20
2026-04-21T07:00:00+00:00,XAU/USD,5m,2400.0,2400.4,2399.6,2400.0,10,0.20
2026-04-21T07:05:00+00:00,XAU/USD,5m,2401.0,2401.4,2400.6,2401.0,10,0.20
2026-04-21T07:10:00+00:00,XAU/USD,5m,2402.0,2402.4,2401.6,2402.0,10,0.20
2026-04-21T07:15:00+00:00,XAU/USD,5m,2403.0,2403.4,2402.6,2403.0,10,0.20
2026-04-21T07:20:00+00:00,XAU/USD,5m,2404.0,2404.4,2403.6,2404.0,10,0.20
2026-04-21T07:25:00+00:00,XAU/USD,5m,2403.8,2404.2,2402.5,2403.0,10,0.20
2026-04-21T07:30:00+00:00,XAU/USD,5m,2403.1,2405.2,2403.0,2404.8,10,0.20
2026-04-21T07:35:00+00:00,XAU/USD,5m,2404.8,2410.0,2404.5,2409.5,10,0.20
